,e2'_es,e2'_nl,Dev_en,e3'_en,Dev_de,e3'_de,Dev_es,e3'_es,Dev_nl,e3'_nl,Dev_zh,e3'_zh,Dev_en_de_zh,e3_es,e3_nl,embedd_sim
model-seed_767795-lr_1e-06-ep_6,0.2614733500859673,0.2616264610793334,0.19203413940256042,0.18922712518641993,0.2653278078843906,0.29311548666387377,0.3124092482966603,0.30435982339955847,0.3013322884012539,0.3417890520694258,0.326822598759705,0.326742364917776,0.2613948486822187,0.04288647331359119,0.08016259099009237,0.8802952766418457
model-seed_940890-lr_3e-05-ep_3,0.20222068008327554,0.16135716135716127,0.0589121338912133,0.093810275293705,0.15227127319257838,0.1870824053452117,0.2391620925282849,0.2521355745384404,0.17665740373163952,0.21868652674339883,0.1314384501957594,0.16221393285613472,0.11420728575985035,0.04991489445516484,0.05732936538623756,0.8876500725746155
model-seed_564375-lr_7e-05-ep_7,0.22730394176624102,0.2133418858242463,0.05791635235939985,0.09408154318281459,0.16456786137121948,0.20056298381421533,0.25704660303200444,0.27891725966234127,0.20628683693516703,0.24874038716520808,0.11139538453666276,0.14672916242103118,0.11129319942242737,0.05161331789610024,0.035398501340961785,0.9361975193023682
model-seed_801889-lr_3e-05-ep_4,0.21498905908096277,0.17542715534107223,0.05425576519916142,0.09151531104676669,0.13976187922342587,0.18012073564509334,0.23946510843915036,0.2614015572858731,0.18045862412761726,0.21188172775582492,0.12328487630706453,0.14276998169615618,0.10576750690988394,0.046412498204910335,0.036454572414752695,0.9000198841094971
model-seed_478474-lr_0.0001-ep_5,0.24173581825601942,0.1885202738283307,0.0621279449987423,0.10152551288795364,0.1728886498117269,0.2038207613428853,0.26742228706093596,0.2739100346020762,0.20726837060702885,0.24570655848546308,0.12201632359735126,0.14828819621870204,0.11901097280260682,0.03217421634605677,0.05718628465713238,0.923734188079834
model-seed_398394-lr_7e-05-ep_7,0.22540030108115494,0.1909126113334194,0.061207401825337016,0.10201940729084702,0.1611039794608473,0.1963636363636363,0.2616968882919185,0.2691296526912965,0.19464428457234206,0.23808226641242158,0.11286196664279136,0.1425937307928703,0.11172444930965857,0.043729351610141576,0.04716965507900217,0.9288821816444397
model-seed_696507-lr_1e-06-ep_7,0.23872855432903306,0.24584470354750687,0.18501170960187352,0.188665962689194,0.2572654155495979,0.29743374000841394,0.32919815044547196,0.3278597272474255,0.3071792859945076,0.3569613481342784,0.3060306910370443,0.2989002356637863,0.24943593872950523,0.08913117291839245,0.1111166445867715,0.882526159286499
model-seed_443294-lr_7e-05-ep_6,0.21129503407984418,0.16402391473875755,0.05674589889521253,0.09310889005786427,0.14276582143618155,0.18792599805258037,0.24898967220475965,0.2584611134134548,0.18886679920477134,0.2244842562432139,0.11488277268093783,0.15532109161002328,0.10479816433744397,0.04716607933361061,0.06046034150445634,0.9299208521842957
model-seed_754633-lr_0.0001-ep_4,0.2373303793962891,0.2098338870431894,0.061162849232318184,0.09844832120627689,0.16723989681857276,0.20174820245312275,0.27573696145124726,0.27729441481897277,0.21515941447764197,0.24309617739083111,0.12609340631234323,0.15726339331096884,0.11816538412107806,0.039964035422683675,0.03326229034764172,0.9313331246376038
model-seed_740068-lr_3e-05-ep_5,0.2060815480304078,0.19118600129617624,0.05441151849991632,0.09129250505228004,0.1404011461318051,0.18624721603563477,0.2431218416619877,0.25882680011120385,0.16832867969684884,0.20897959183673476,0.11852153548518485,0.13767234387672345,0.10444473337230209,0.05274525208079606,0.017793590540558513,0.9061977863311768
model-seed_115450-lr_3e-05-ep_5,0.21083496230103327,0.21139273582440554,0.055197252701231325,0.09154682567520156,0.13865501438772243,0.18132252201873333,0.235406590934653,0.256470588235294,0.1789137380191692,0.21516225797654764,0.10433799342105265,0.12206092823553472,0.09939675350333547,0.04563562593426074,0.003769522152142102,0.8523318767547607
model-seed_636274-lr_7e-05-ep_4,0.227198252321136,0.16603228770179812,0.060755887035950806,0.0954094619503204,0.15740939309457425,0.18781302170283798,0.24610731488742021,0.2706922758048915,0.18276553106212434,0.2221306974190006,0.12428803905614327,0.14170448814926873,0.1141511063955561,0.04349402348375553,0.05609840971720248,0.9020199775695801
model-seed_718283-lr_5e-05-ep_3,0.20530707153604166,0.15480844409695083,0.06001676445934623,0.09616901902340658,0.1413578924823301,0.1859876195835678,0.2609327815680573,0.2691720981833311,0.18207282913165268,0.21343711593609171,0.12332686216409527,0.14756097560975612,0.10823383970192386,0.06386502664728944,0.05862867183914089,0.9064027070999146
model-seed_459777-lr_0.0001-ep_7,0.24103123721184005,0.21791200208279105,0.06366225498408451,0.10633088492479881,0.16623821765209945,0.20712382555041364,0.2662841714478569,0.2649596437517395,0.20871651339464214,0.24905046120455765,0.11365738361936084,0.1425942962281509,0.11451928541851493,0.02392840653989947,0.031138459121766604,0.9437618851661682
model-seed_198745-lr_5e-05-ep_7,0.21432522123893794,0.16919486581096854,0.055569524767412615,0.09484952180398343,0.13971373638111517,0.1853610839502723,0.2509262377905018,0.2602019643104164,0.17715430861723458,0.2076712328767123,0.10819370657948502,0.14279894072112442,0.10115898924267093,0.04587674307147849,0.038476367065743755,0.9369299411773682
model-seed_642612-lr_5e-05-ep_5,0.2024488660080701,0.18450906245925147,0.056398223414061865,0.0921537651395472,0.1455709711846318,0.18961184026808153,0.23991935483870963,0.25556323427781613,0.17618761274804562,0.22100954979536147,0.11626955721443921,0.1336321042982277,0.10607958393771096,0.053114368269746026,0.03650048733611,0.8840511441230774
model-seed_628727-lr_5e-05-ep_4,0.20317283607013636,0.17944765574823374,0.05965147453083108,0.09177048605018423,0.1392540344127392,0.19082902278764158,0.26367713004484294,0.2565834826968152,0.17998804066175,0.21644727914235307,0.12126305067481524,0.14996474972303353,0.10672285320612851,0.053410646626678826,0.03699962339411933,0.9096397161483765
model-seed_917607-lr_7e-05-ep_7,0.22393769640661287,0.2043237542842078,0.05895159939708594,0.10403916768665844,0.1583136158313616,0.19194743464280728,0.2653474252304926,0.27033028032195405,0.19639278557114237,0.22741517917972476,0.10503316024883036,0.13142857142857145,0.10743279182575931,0.04639258391534118,0.023091424895516965,0.9295695424079895
